"filename", "language", "Python", "comment", "blank", "total"
"/Users/robertherring/code/statezero/statezero/adaptors/django/ast_parser.py", "Python", 743, 144, 142, 1029
"/Users/robertherring/code/statezero/statezero/adaptors/django/event_bus.py", "Python", 154, 58, 29, 241
"/Users/robertherring/code/statezero/statezero/adaptors/django/hook_checks.py", "Python", 64, 8, 14, 86
"/Users/robertherring/code/statezero/statezero/adaptors/django/orm.py", "Python", -435, -153, -76, -664
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_bound.py", "Python", 291, 41, 80, 412
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_resolver.py", "Python", 81, 28, 22, 131
"/Users/robertherring/code/statezero/statezero/adaptors/django/permission_utils.py", "Python", 108, 73, 23, 204
"/Users/robertherring/code/statezero/statezero/adaptors/django/process_request.py", "Python", 166, 27, 37, 230
"/Users/robertherring/code/statezero/statezero/adaptors/django/query_cache.py", "Python", 108, 103, 54, 265
"/Users/robertherring/code/statezero/statezero/adaptors/django/types.py", "Python", 8, 1, 2, 11
"/Users/robertherring/code/statezero/statezero/adaptors/django/views.py", "Python", -33, -11, -5, -49
"/Users/robertherring/code/statezero/statezero/core/ast_parser.py", "Python", -807, -221, -141, -1169
"/Users/robertherring/code/statezero/statezero/core/ast_validator.py", "Python", -185, -87, -39, -311
"/Users/robertherring/code/statezero/statezero/core/classes.py", "Python", -12, 0, -4, -16
"/Users/robertherring/code/statezero/statezero/core/config.py", "Python", 17, -4, 5, 18
"/Users/robertherring/code/statezero/statezero/core/event_bus.py", "Python", -154, -58, -29, -241
"/Users/robertherring/code/statezero/statezero/core/hook_checks.py", "Python", -64, -8, -14, -86
"/Users/robertherring/code/statezero/statezero/core/interfaces.py", "Python", -131, -80, -23, -234
"/Users/robertherring/code/statezero/statezero/core/process_request.py", "Python", -238, -50, -51, -339
"/Users/robertherring/code/statezero/statezero/core/query_cache.py", "Python", -108, -103, -54, -265
"/Users/robertherring/code/statezero/statezero/core/types.py", "Python", -10, -1, 1, -10
"Total", "-", -437, -293, -27, -757
